time,open,high,low,close,tick_volume,spread,real_volume,has_fvg,has_ob,has_breaker,smt_bullish,smt_bearish,bias
2025-06-09 20:00:00,1.14242,1.14258,1.1419,1.14215,1552,8,0,0,1,1,1,1,هبوطي
2025-06-09 21:00:00,1.14214,1.14304,1.14188,1.14275,1618,8,0,0,1,0,0,0,صعودي
2025-06-09 22:00:00,1.14272,1.14289,1.14219,1.14223,1457,8,0,0,1,0,0,0,هبوطي
2025-06-09 23:00:00,1.14223,1.14265,1.14163,1.14194,924,8,0,0,1,0,0,0,هبوطي
2025-06-10 00:00:00,1.142,1.14214,1.14133,1.14194,357,23,0,0,1,0,0,0,هبوطي
2025-06-10 01:00:00,1.14193,1.14233,1.14193,1.14224,2394,8,0,0,1,0,0,0,صعودي
2025-06-10 02:00:00,1.14225,1.14278,1.14196,1.14257,1333,10,0,0,1,0,0,0,صعودي
2025-06-10 03:00:00,1.14257,1.14351,1.14213,1.14238,2338,8,0,0,1,0,1,0,هبوطي
2025-06-10 04:00:00,1.1424,1.14277,1.13946,1.13963,2977,8,0,0,1,0,0,0,هبوطي
2025-06-10 05:00:00,1.13962,1.14001,1.13857,1.13985,2999,8,0,0,1,0,0,0,صعودي
2025-06-10 06:00:00,1.13985,1.14044,1.13911,1.14025,2014,8,0,0,1,1,0,0,صعودي
2025-06-10 07:00:00,1.14026,1.1403699999999999,1.1391,1.1399,1567,8,0,0,1,0,0,1,هبوطي
2025-06-10 08:00:00,1.13991,1.14131,1.13973,1.14046,3438,8,0,0,1,0,0,0,صعودي
2025-06-10 09:00:00,1.14048,1.14142,1.13916,1.13947,4197,8,0,0,1,0,0,0,هبوطي
2025-06-10 10:00:00,1.1394,1.13993,1.13725,1.13917,4654,8,0,1,1,0,1,0,هبوطي
2025-06-10 11:00:00,1.13917,1.14109,1.1391,1.14077,3843,8,0,0,1,0,0,0,صعودي
2025-06-10 12:00:00,1.14076,1.1418300000000001,1.14031,1.14162,2806,8,0,1,1,0,0,0,صعودي
2025-06-10 13:00:00,1.14163,1.14243,1.14108,1.14231,2592,8,0,1,1,0,0,0,صعودي
2025-06-10 14:00:00,1.14229,1.14337,1.14188,1.14286,3135,8,0,0,1,0,0,0,صعودي
2025-06-10 15:00:00,1.14287,1.14398,1.14245,1.14316,3246,8,0,0,1,0,0,0,صعودي
2025-06-10 16:00:00,1.1431499999999999,1.14471,1.14301,1.14424,3983,8,0,0,1,1,0,0,صعودي
2025-06-10 17:00:00,1.14422,1.14444,1.142,1.14253,3576,1,0,0,1,0,1,0,هبوطي
2025-06-10 18:00:00,1.14252,1.14272,1.14151,1.14219,3124,8,0,0,1,0,0,1,هبوطي
2025-06-10 19:00:00,1.14219,1.1426,1.14155,1.1423,2191,8,0,0,1,0,0,0,صعودي
2025-06-10 20:00:00,1.14234,1.14283,1.14165,1.14225,1527,8,0,0,1,0,0,0,هبوطي
2025-06-10 21:00:00,1.14225,1.14247,1.1416,1.14198,1809,8,0,0,1,0,0,0,هبوطي
2025-06-10 22:00:00,1.14197,1.1436,1.14186,1.14256,1896,8,0,0,1,0,0,0,صعودي
2025-06-10 23:00:00,1.14255,1.14293,1.14186,1.14201,1131,8,0,0,1,0,0,0,هبوطي
2025-06-11 00:00:00,1.14208,1.14252,1.1414900000000001,1.14232,1208,8,0,0,1,0,1,0,صعودي
2025-06-11 01:00:00,1.14247,1.14288,1.14229,1.1428099999999999,977,8,0,0,1,0,0,0,صعودي
2025-06-11 02:00:00,1.14284,1.1439,1.14216,1.14369,2006,8,0,0,1,1,0,0,صعودي
2025-06-11 03:00:00,1.14372,1.14383,1.14199,1.14205,3113,8,0,0,1,0,0,0,هبوطي
2025-06-11 04:00:00,1.14205,1.14264,1.14059,1.1408,2629,8,0,0,1,0,0,0,هبوطي
2025-06-11 05:00:00,1.14081,1.14173,1.14066,1.1414900000000001,1990,8,0,0,1,0,0,1,صعودي
2025-06-11 06:00:00,1.14148,1.1417,1.14109,1.14158,1447,8,0,0,1,0,0,0,صعودي
2025-06-11 07:00:00,1.14158,1.14173,1.14115,1.14151,1381,8,0,0,1,0,1,0,هبوطي
2025-06-11 08:00:00,1.14152,1.14225,1.1413,1.14217,1740,8,0,0,1,0,0,0,صعودي
2025-06-11 09:00:00,1.14217,1.14229,1.14066,1.14095,2926,8,0,0,1,0,0,0,هبوطي
2025-06-11 10:00:00,1.14097,1.14232,1.14048,1.14191,3295,8,0,1,1,0,0,0,صعودي
2025-06-11 11:00:00,1.1419,1.14382,1.14179,1.14304,2749,8,0,0,1,0,0,0,صعودي
2025-06-11 12:00:00,1.14304,1.14453,1.14294,1.14343,2964,8,0,0,1,1,0,0,صعودي
2025-06-11 13:00:00,1.14349,1.1442,1.14328,1.14377,2373,8,0,0,1,0,0,0,صعودي
2025-06-11 14:00:00,1.14377,1.144,1.14263,1.14322,2585,8,0,1,1,0,1,0,هبوطي
2025-06-11 15:00:00,1.14322,1.14887,1.14278,1.14601,6262,8,0,0,1,0,0,0,صعودي
2025-06-11 16:00:00,1.14603,1.1473,1.14523,1.14698,5363,8,0,1,1,0,0,1,صعودي
2025-06-11 17:00:00,1.14698,1.14861,1.14666,1.14812,4527,8,0,0,1,0,0,0,صعودي
2025-06-11 18:00:00,1.14812,1.14898,1.1474199999999999,1.14889,3815,8,0,0,1,0,0,0,صعودي
2025-06-11 19:00:00,1.14887,1.14954,1.14817,1.14892,2922,8,0,0,1,0,0,0,صعودي
2025-06-11 20:00:00,1.14893,1.14984,1.14878,1.14969,1903,8,0,0,1,0,0,0,صعودي
2025-06-11 21:00:00,1.1497,1.14989,1.1482999999999999,1.14858,2986,2,0,0,1,0,1,0,هبوطي
2025-06-11 22:00:00,1.14856,1.14863,1.14787,1.1482,2199,8,0,0,1,1,0,0,هبوطي
2025-06-11 23:00:00,1.14821,1.1489,1.14797,1.14859,1318,8,0,0,1,0,0,0,صعودي
2025-06-12 00:00:00,1.14865,1.14879,1.14816,1.1487,522,17,0,1,1,0,0,0,صعودي
